interaction_id,guest_id,venue_id,interaction_date,interaction_type,category,note,captured_by
I-000641,G-102960,V-027,2026-03-29,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000642,G-101658,V-021,2025-07-09,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000643,G-102853,V-008,2026-03-05,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000644,G-102891,V-011,2026-04-01,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000645,G-102164,V-029,2024-12-27,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000646,G-100146,V-009,2025-07-28,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000647,G-102242,V-010,2025-09-07,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000648,G-103431,V-008,2025-05-29,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000649,G-100783,V-013,2025-11-02,Preference noted,Dietary,Allergic to truffle.,Chef
I-000650,G-104826,V-008,2024-09-14,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000651,G-100136,V-025,2026-01-11,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000652,G-101293,V-013,2024-05-07,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000653,G-100281,V-015,2024-07-11,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000654,G-103192,V-016,2025-11-08,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000655,G-100020,V-008,2024-11-05,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000656,G-102445,V-028,2024-09-29,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000657,G-102240,V-004,2025-06-06,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000658,G-100107,V-012,2024-10-21,Preference noted,Dietary,Allergic to truffle.,Chef
I-000659,G-103051,V-027,2024-06-06,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000660,G-101924,V-027,2024-04-11,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000661,G-103117,V-025,2025-06-01,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000662,G-101340,V-008,2025-07-19,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000663,G-102725,V-022,2025-03-11,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000664,G-100204,V-005,2025-05-03,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000665,G-102463,V-009,2025-11-23,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000666,G-101951,V-012,2024-10-24,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000667,G-101165,V-027,2025-04-23,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000668,G-104952,V-003,2025-03-15,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000669,G-102594,V-016,2025-03-31,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000670,G-103565,V-023,2024-11-04,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000671,G-100160,V-021,2024-07-09,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000672,G-102917,V-021,2025-12-16,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000673,G-102445,V-003,2024-07-31,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000674,G-100398,V-011,2024-08-23,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000675,G-101271,V-015,2024-07-25,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000676,G-101192,V-028,2024-12-12,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000677,G-100104,V-021,2024-04-07,Preference noted,Dietary,Allergic to truffle.,Chef
I-000678,G-101721,V-003,2026-02-15,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000679,G-101199,V-003,2025-03-13,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000680,G-103397,V-014,2025-11-04,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000681,G-101392,V-001,2026-04-27,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000682,G-104223,V-018,2025-07-07,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000683,G-101608,V-028,2024-03-10,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000684,G-103764,V-024,2026-02-01,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000685,G-104903,V-030,2024-03-12,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000686,G-101993,V-017,2026-01-25,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000687,G-100182,V-006,2025-06-21,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000688,G-102004,V-027,2026-02-11,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000689,G-103677,V-007,2025-02-07,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000690,G-103982,V-007,2024-10-17,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000691,G-102557,V-028,2024-09-05,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000692,G-100736,V-016,2025-12-05,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000693,G-103657,V-027,2025-03-24,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000694,G-100172,V-008,2024-06-10,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000695,G-103967,V-015,2025-06-03,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000696,G-101611,V-012,2024-05-03,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000697,G-102332,V-014,2024-06-09,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000698,G-104177,V-003,2025-12-03,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000699,G-103337,V-016,2025-04-11,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000700,G-101961,V-018,2024-02-21,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000701,G-100920,V-019,2025-10-04,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000702,G-100951,V-004,2025-04-12,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000703,G-101808,V-011,2024-08-30,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000704,G-102179,V-022,2025-09-19,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000705,G-100967,V-009,2024-04-06,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000706,G-100396,V-023,2024-12-17,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000707,G-104110,V-024,2025-09-04,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000708,G-103734,V-005,2024-05-29,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000709,G-104670,V-005,2025-02-18,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000710,G-102797,V-023,2026-01-01,Preference noted,Dietary,Allergic to truffle.,Chef
I-000711,G-102149,V-007,2024-02-27,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000712,G-101996,V-021,2024-06-24,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000713,G-100363,V-027,2024-09-20,Preference noted,Dietary,Allergic to truffle.,Chef
I-000714,G-101018,V-023,2025-10-04,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000715,G-101450,V-027,2025-01-08,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000716,G-104048,V-030,2024-06-09,Preference noted,Dietary,Allergic to truffle.,Chef
I-000717,G-103155,V-030,2025-05-21,Preference noted,Dietary,Allergic to truffle.,Chef
I-000718,G-103022,V-018,2025-05-27,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000719,G-103122,V-025,2024-10-07,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000720,G-104424,V-010,2025-09-07,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000721,G-100396,V-008,2024-05-13,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000722,G-101576,V-003,2025-01-03,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000723,G-104306,V-002,2025-01-18,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000724,G-100618,V-009,2025-07-23,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000725,G-102073,V-028,2024-07-11,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000726,G-100376,V-010,2026-01-18,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000727,G-101882,V-006,2024-03-17,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000728,G-104598,V-025,2025-10-13,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000729,G-102049,V-023,2024-08-02,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000730,G-100944,V-008,2024-03-27,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000731,G-101059,V-007,2024-05-15,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000732,G-100619,V-012,2026-04-03,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000733,G-100499,V-008,2026-02-08,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000734,G-103977,V-006,2024-06-15,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000735,G-104060,V-006,2025-11-17,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000736,G-101763,V-025,2025-06-24,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000737,G-100216,V-003,2024-07-02,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000738,G-100903,V-025,2025-04-11,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000739,G-101588,V-001,2026-01-18,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000740,G-101158,V-023,2024-08-13,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000741,G-100494,V-029,2024-12-28,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000742,G-100891,V-025,2024-11-02,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000743,G-102200,V-027,2025-06-24,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000744,G-100157,V-006,2025-10-04,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000745,G-104368,V-011,2024-09-22,Preference noted,Dietary,Allergic to truffle.,Chef
I-000746,G-104807,V-016,2025-09-14,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000747,G-102131,V-022,2026-04-19,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000748,G-103202,V-004,2024-04-16,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000749,G-101851,V-008,2024-10-19,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000750,G-101241,V-022,2026-04-10,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000751,G-100347,V-004,2026-02-28,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000752,G-102312,V-013,2025-02-26,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000753,G-101379,V-003,2024-07-25,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000754,G-100326,V-012,2024-07-03,Preference noted,Dietary,Allergic to truffle.,Chef
I-000755,G-102912,V-008,2024-07-27,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000756,G-100861,V-006,2024-07-08,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000757,G-104948,V-020,2024-06-06,Preference noted,Dietary,Allergic to truffle.,Chef
I-000758,G-101961,V-010,2025-03-17,Preference noted,Dietary,Allergic to truffle.,Chef
I-000759,G-103099,V-026,2025-11-07,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000760,G-102280,V-017,2025-03-25,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000761,G-101165,V-001,2026-02-03,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000762,G-104066,V-012,2025-01-11,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000763,G-100109,V-014,2025-09-13,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000764,G-103522,V-001,2026-02-07,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000765,G-101420,V-009,2026-01-19,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000766,G-103920,V-024,2025-08-10,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000767,G-103509,V-029,2024-09-01,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000768,G-100538,V-026,2024-11-10,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000769,G-100036,V-006,2024-02-28,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000770,G-103709,V-015,2024-08-30,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000771,G-101543,V-009,2025-11-01,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000772,G-104180,V-019,2024-05-02,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000773,G-104180,V-028,2025-03-15,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000774,G-102543,V-026,2025-06-04,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000775,G-104586,V-012,2024-04-13,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000776,G-104228,V-014,2025-03-01,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000777,G-101118,V-010,2024-06-06,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000778,G-103224,V-009,2025-10-03,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000779,G-101300,V-003,2025-04-18,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000780,G-101680,V-011,2024-03-22,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000781,G-101651,V-024,2026-03-11,Preference noted,Dietary,Allergic to truffle.,Chef
I-000782,G-104670,V-014,2026-02-21,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000783,G-101600,V-003,2025-12-30,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000784,G-102407,V-003,2025-09-30,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000785,G-103140,V-027,2025-09-24,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000786,G-103274,V-007,2026-01-31,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000787,G-101933,V-018,2025-02-08,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000788,G-100210,V-028,2024-05-18,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000789,G-103289,V-026,2025-02-15,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000790,G-103877,V-030,2025-12-02,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000791,G-103175,V-006,2024-07-31,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000792,G-102014,V-012,2025-08-09,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000793,G-102348,V-014,2025-11-26,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000794,G-101687,V-014,2024-12-18,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000795,G-100859,V-016,2025-03-17,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000796,G-102413,V-005,2024-07-22,Preference noted,Dietary,Allergic to truffle.,Chef
I-000797,G-103977,V-027,2025-06-30,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000798,G-104885,V-023,2026-02-15,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000799,G-103569,V-025,2025-08-12,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000800,G-101612,V-015,2025-12-04,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000801,G-103109,V-029,2025-04-13,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000802,G-102462,V-001,2025-12-29,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000803,G-101667,V-004,2025-02-27,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000804,G-104891,V-019,2024-07-20,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000805,G-103158,V-008,2024-08-12,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000806,G-103958,V-016,2025-07-02,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000807,G-102908,V-018,2024-02-27,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000808,G-101346,V-018,2024-11-06,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000809,G-104881,V-016,2026-03-27,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000810,G-102982,V-014,2025-01-31,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000811,G-100639,V-014,2024-08-24,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000812,G-101819,V-030,2024-04-28,Preference noted,Dietary,Allergic to truffle.,Chef
I-000813,G-104595,V-018,2025-11-04,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000814,G-104825,V-008,2024-10-12,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000815,G-100143,V-014,2025-03-15,Preference noted,Dietary,Allergic to truffle.,Chef
I-000816,G-101489,V-012,2025-04-25,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000817,G-102053,V-029,2025-11-07,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000818,G-101456,V-019,2024-08-05,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000819,G-103291,V-004,2024-07-30,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000820,G-100324,V-016,2025-10-20,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000821,G-103494,V-005,2025-08-15,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000822,G-103764,V-012,2025-02-20,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000823,G-103218,V-016,2025-09-02,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000824,G-100640,V-004,2025-06-03,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000825,G-103990,V-015,2026-01-22,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000826,G-103479,V-015,2025-05-17,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000827,G-103163,V-010,2024-08-25,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000828,G-102448,V-008,2025-12-28,Preference noted,Dietary,Allergic to truffle.,Chef
I-000829,G-104597,V-010,2025-01-30,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000830,G-104573,V-018,2024-10-28,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000831,G-103630,V-023,2025-02-12,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000832,G-100083,V-018,2025-06-19,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000833,G-101396,V-003,2025-10-08,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000834,G-103262,V-020,2024-03-27,Preference noted,Dietary,Allergic to truffle.,Chef
I-000835,G-104296,V-023,2025-07-30,Preference noted,Dietary,Allergic to truffle.,Chef
I-000836,G-102053,V-002,2025-05-23,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000837,G-103076,V-025,2024-08-05,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000838,G-101110,V-002,2025-06-01,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000839,G-104431,V-006,2024-09-24,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000840,G-104480,V-017,2025-10-10,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000841,G-102527,V-008,2024-10-28,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000842,G-103487,V-004,2025-09-14,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000843,G-100815,V-012,2025-12-25,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000844,G-100631,V-015,2024-07-02,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000845,G-100195,V-002,2025-01-13,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000846,G-102406,V-023,2024-05-11,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000847,G-102861,V-005,2024-05-22,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000848,G-101563,V-028,2026-03-04,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000849,G-100509,V-030,2025-11-05,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000850,G-103499,V-023,2024-05-26,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000851,G-101425,V-001,2024-07-25,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000852,G-100500,V-008,2025-12-22,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000853,G-103628,V-019,2024-06-04,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000854,G-104406,V-028,2025-12-24,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000855,G-104070,V-028,2026-04-27,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000856,G-103763,V-018,2025-08-14,Preference noted,Dietary,Allergic to truffle.,Chef
I-000857,G-104020,V-007,2025-08-21,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000858,G-103466,V-024,2026-02-04,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000859,G-100669,V-006,2024-04-09,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000860,G-103185,V-011,2024-10-14,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000861,G-101802,V-018,2026-02-07,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000862,G-100326,V-027,2025-03-28,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000863,G-100540,V-003,2025-05-30,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000864,G-101890,V-012,2024-06-09,Preference noted,Dietary,Allergic to truffle.,Chef
I-000865,G-104916,V-025,2025-06-28,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000866,G-103703,V-024,2024-11-14,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000867,G-102176,V-022,2025-09-22,Preference noted,Dietary,Allergic to truffle.,Chef
I-000868,G-100303,V-019,2024-09-18,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000869,G-104848,V-002,2025-12-28,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000870,G-102725,V-012,2025-02-12,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000871,G-102899,V-025,2024-08-04,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000872,G-102765,V-012,2025-05-25,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000873,G-103948,V-014,2024-08-06,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000874,G-102207,V-026,2025-06-11,Preference noted,Dietary,Allergic to truffle.,Chef
I-000875,G-101657,V-013,2025-03-20,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000876,G-103400,V-009,2024-12-27,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000877,G-100758,V-030,2026-04-06,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000878,G-104116,V-010,2026-02-18,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000879,G-102034,V-007,2025-02-14,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000880,G-102160,V-013,2024-08-17,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000881,G-100591,V-011,2024-05-27,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000882,G-100998,V-004,2024-09-09,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000883,G-103991,V-006,2025-05-09,Preference noted,Dietary,Allergic to truffle.,Chef
I-000884,G-100368,V-028,2025-07-05,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000885,G-100846,V-020,2025-01-13,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000886,G-100471,V-019,2025-02-28,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000887,G-100261,V-027,2024-11-04,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000888,G-100610,V-026,2024-06-25,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000889,G-103625,V-019,2026-03-25,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
