guest_id,nationality,home_city,home_country,guest_tier,first_seen_date,first_seen_brand,dietary_flags,preferred_language,lifetime_spend_aed,total_visits,brands_visited_count,last_visit_date,acquisition_channel,event_host_count,consent_status
G-101108,Saudi Arabia,Jeddah,Saudi Arabia,Standard,2025-02-28,Nammos,vegan,AR,21965,17,1,2025-11-25,Direct,0,Full
G-101109,UK,Manchester,UK,Standard,2025-10-11,Nammos,vegetarian,EN,29918,15,1,2026-03-30,Hotel partner,0,None
G-101110,USA,New York,USA,Platinum,2024-12-06,Nammos,gluten-free,EN,745302,552,3,2025-09-06,Concierge,1,None
G-101111,Qatar,Doha,Qatar,Diamond,2025-09-02,Em Sherif,,AR,1773625,1316,3,2026-04-12,Digital,0,Partial
G-101112,Italy,Milan,Italy,Standard,2025-11-09,Nammos,,IT,28917,13,1,2026-04-12,Direct,0,Partial
G-101113,Russia,Moscow,Russia,Standard,2025-11-03,Em Sherif,halal,RU,7230,2,1,2026-03-18,Direct,0,Full
G-101114,India,Bangalore,India,Gold,2026-01-28,Nammos,,EN,45874,17,1,2026-03-01,Direct,0,Full
G-101115,UAE,Dubai,UAE,Standard,2026-02-03,AlphaMind,halal,AR,5805,3,1,2026-03-24,Referral,0,Full
G-101116,USA,Miami,USA,Standard,2024-05-21,Nammos,,EN,18954,8,1,2025-05-04,Concierge,0,Partial
G-101117,UK,Manchester,UK,Gold,2024-01-10,CE LA VI,,EN,43864,16,1,2025-10-21,Concierge,0,Full
G-101118,Russia,Moscow,Russia,Gold,2024-08-31,CE LA VI,,RU,119907,53,1,2026-01-09,Direct,0,Full
G-101119,UK,Manchester,UK,Gold,2025-10-22,Nammos,,EN,145154,91,2,2026-04-03,Concierge,0,Full
G-101120,UK,Manchester,UK,Platinum,2025-09-10,CE LA VI,vegetarian,EN,508544,402,2,2025-10-10,Direct,0,Full
G-101121,Kuwait,Kuwait City,Kuwait,Standard,2025-04-22,Nammos,,AR,16266,7,1,2026-02-01,Direct,0,Full
G-101122,USA,Los Angeles,USA,Gold,2025-05-18,Nammos,,EN,82607,41,1,2025-10-27,Hotel partner,1,Partial
G-101123,USA,New York,USA,Standard,2025-08-24,CE LA VI,"vegetarian,gluten-free",EN,22480,10,1,2026-03-29,Direct,0,Partial
G-101124,USA,Los Angeles,USA,Standard,2024-05-03,Nammos,,EN,17940,9,1,2025-02-25,Concierge,0,Full
G-101125,Saudi Arabia,Riyadh,Saudi Arabia,Standard,2025-09-24,Em Sherif,,AR,3850,1,1,2025-10-22,Concierge,0,None
G-101126,UAE,Abu Dhabi,UAE,Standard,2025-08-03,Em Sherif,halal,AR,28782,13,1,2026-01-22,Hotel partner,0,None
G-101127,USA,Los Angeles,USA,Standard,2025-04-05,Em Sherif,,EN,24573,10,1,2026-02-26,Concierge,0,Partial
G-101128,Qatar,Doha,Qatar,Gold,2024-05-05,Nammos,,AR,133575,97,2,2026-02-21,Referral,0,Partial
G-101129,Saudi Arabia,Riyadh,Saudi Arabia,Standard,2025-07-14,Nammos,vegetarian,AR,17864,10,1,2026-03-11,Digital,0,Partial
G-101130,France,Nice,France,Standard,2025-07-04,Nammos,vegetarian,FR,29394,16,1,2026-02-16,Concierge,0,Full
G-101131,Germany,Munich,Germany,Standard,2025-09-14,Em Sherif,,DE,6617,4,1,2026-03-09,Direct,0,Full
G-101132,UAE,Sharjah,UAE,Standard,2025-12-24,AlphaMind,,AR,24626,11,1,2026-01-04,Direct,0,Full
G-101133,UAE,Abu Dhabi,UAE,Platinum,2025-02-14,Nammos,,AR,257394,151,3,2026-03-25,Direct,0,Full
G-101134,UAE,Dubai,UAE,Standard,2025-06-02,Nammos,halal,AR,10159,4,2,2026-04-05,Direct,0,Full
G-101135,UK,Manchester,UK,Gold,2025-05-30,Nammos,,EN,64043,35,2,2026-02-15,Concierge,0,Full
G-101136,Italy,Rome,Italy,Gold,2024-10-27,Nammos,,IT,148151,87,2,2026-01-10,Direct,0,Full
G-101137,UAE,Sharjah,UAE,Standard,2025-12-02,CE LA VI,gluten-free,AR,9909,5,1,2026-03-23,Concierge,0,Full
G-101138,UK,Manchester,UK,Standard,2026-02-12,Nammos,pescatarian,EN,7361,5,1,2026-04-23,Direct,0,None
G-101139,Saudi Arabia,Jeddah,Saudi Arabia,Gold,2024-09-03,Nammos,,AR,127893,53,3,2025-07-20,Referral,0,None
G-101140,India,Mumbai,India,Standard,2025-07-12,Em Sherif,,EN,29674,20,2,2025-10-15,Hotel partner,0,Full
G-101141,Italy,Milan,Italy,Standard,2025-03-09,CE LA VI,halal,IT,24405,13,1,2026-04-26,Referral,0,Full
G-101142,UK,London,UK,Standard,2024-12-19,Nammos,,EN,12939,6,1,2025-10-24,Direct,0,None
G-101143,Russia,Moscow,Russia,Gold,2025-05-06,CE LA VI,,RU,35341,20,2,2026-01-27,Concierge,0,Partial
G-101144,Lebanon,Beirut,Lebanon,Standard,2025-08-31,Em Sherif,vegetarian,AR,14579,8,1,2026-01-13,Direct,0,Full
G-101145,Lebanon,Beirut,Lebanon,Standard,2025-10-14,CE LA VI,,AR,8691,7,1,2026-04-15,Referral,0,Full
G-101146,USA,Miami,USA,Standard,2024-12-28,CE LA VI,pescatarian,EN,24063,9,1,2025-09-29,Concierge,0,Full
G-101147,USA,Miami,USA,Standard,2024-02-04,Em Sherif,,EN,11200,5,1,2026-01-22,Direct,0,Partial
G-101148,USA,Los Angeles,USA,Standard,2025-09-27,Em Sherif,,EN,20810,11,1,2025-11-28,Direct,0,Full
G-101149,UAE,Abu Dhabi,UAE,Standard,2026-01-10,AlphaMind,,AR,26450,10,1,2026-04-28,Referral,0,Full
G-101150,India,Delhi,India,Standard,2025-12-05,CE LA VI,vegan,EN,23827,12,1,2026-04-08,Direct,0,Partial
G-101151,UAE,Dubai,UAE,Gold,2024-05-18,CE LA VI,,AR,139310,63,1,2024-09-18,Direct,0,None
G-101152,Bahrain,Manama,Bahrain,Platinum,2026-02-17,CE LA VI,,AR,665232,351,3,2026-03-14,Direct,0,Full
G-101153,USA,Los Angeles,USA,Platinum,2024-01-19,Nammos,halal,EN,577066,216,2,2025-08-23,Hotel partner,0,Full
G-101154,Saudi Arabia,Riyadh,Saudi Arabia,Standard,2026-03-07,Em Sherif,,AR,12431,7,1,2026-03-26,Direct,0,Full
G-101155,UK,London,UK,Standard,2025-12-08,Nammos,gluten-free,EN,15841,5,1,2026-02-14,Hotel partner,0,Full
G-101156,UAE,Sharjah,UAE,Standard,2025-09-11,CE LA VI,,AR,3537,2,1,2025-10-23,Direct,0,Full
G-101157,UK,London,UK,Standard,2024-03-18,Nammos,,EN,15952,6,2,2025-10-24,Direct,0,Full
G-101158,Saudi Arabia,Riyadh,Saudi Arabia,Platinum,2024-09-14,Nammos,gluten-free,AR,211852,130,3,2025-12-31,Direct,0,Full
G-101159,India,Mumbai,India,Standard,2024-12-11,AlphaMind,,EN,4230,1,1,2025-04-15,Concierge,0,None
G-101160,Lebanon,Beirut,Lebanon,Standard,2025-09-02,CE LA VI,,AR,4603,2,1,2025-12-26,Direct,0,Full
G-101161,Italy,Milan,Italy,Standard,2025-08-09,Em Sherif,,IT,9399,4,1,2026-01-22,Direct,0,Partial
G-101162,UAE,Sharjah,UAE,Platinum,2024-10-22,Em Sherif,vegetarian,AR,623686,444,2,2025-07-26,Direct,0,Partial
G-101163,UK,Manchester,UK,Standard,2025-06-01,Nammos,,EN,14032,6,2,2026-02-06,Direct,0,Partial
G-101164,UAE,Sharjah,UAE,Standard,2025-03-19,AlphaMind,,AR,21793,13,1,2025-11-21,Direct,0,Full
G-101165,USA,Miami,USA,Gold,2025-03-03,Nammos,,EN,110522,78,1,2026-04-09,Hotel partner,0,Partial
G-101166,France,Paris,France,Gold,2026-04-09,Nammos,vegan,FR,43292,18,1,2026-04-15,Direct,0,Full
G-101167,USA,New York,USA,Standard,2025-02-19,Em Sherif,gluten-free,EN,14415,9,1,2025-11-01,Concierge,0,Full
G-101168,India,Bangalore,India,Standard,2026-01-28,Nammos,,EN,14980,11,1,2026-02-23,Concierge,0,Full
G-101169,Qatar,Doha,Qatar,Standard,2025-11-04,CE LA VI,,AR,15250,6,1,2026-04-13,Direct,0,Full
G-101170,Saudi Arabia,Riyadh,Saudi Arabia,Standard,2025-07-25,Nammos,,AR,8175,3,1,2026-04-19,Concierge,0,Full
G-101171,Saudi Arabia,Riyadh,Saudi Arabia,Gold,2025-01-28,Nammos,,AR,108995,43,2,2025-09-08,Referral,1,Full
G-101172,Saudi Arabia,Jeddah,Saudi Arabia,Standard,2024-06-08,CE LA VI,,AR,18083,6,1,2024-12-15,Digital,0,Partial
G-101173,UAE,Dubai,UAE,Standard,2025-04-18,Nammos,,AR,7415,5,1,2026-02-15,Direct,0,Partial
G-101174,India,Bangalore,India,Standard,2025-03-29,Em Sherif,,EN,4690,2,1,2026-03-08,Direct,0,Full
G-101175,Bahrain,Manama,Bahrain,Standard,2025-07-04,Em Sherif,halal,AR,21312,15,1,2025-10-05,Referral,0,Full
G-101176,Saudi Arabia,Jeddah,Saudi Arabia,Platinum,2024-02-02,Em Sherif,,AR,616980,397,2,2026-01-15,Concierge,1,Full
G-101177,UAE,Abu Dhabi,UAE,Standard,2025-12-23,AlphaMind,,AR,19129,14,2,2026-03-31,Hotel partner,0,Full
G-101178,Singapore,Singapore,Singapore,Standard,2025-02-20,Em Sherif,,EN,2177,1,1,2025-08-19,Concierge,0,Full
G-101179,Bahrain,Manama,Bahrain,Standard,2026-04-27,Em Sherif,,AR,28170,11,1,2026-04-23,Hotel partner,0,Full
G-101180,Germany,Berlin,Germany,Standard,2025-10-08,Nammos,,DE,7022,2,1,2026-03-27,Direct,0,Full
G-101181,UK,London,UK,Standard,2025-08-06,CE LA VI,,EN,23310,9,2,2026-02-13,Referral,0,Partial
G-101182,UAE,Abu Dhabi,UAE,Standard,2025-02-01,AlphaMind,,AR,5038,2,1,2026-02-26,Direct,0,Full
G-101183,Saudi Arabia,Riyadh,Saudi Arabia,Standard,2025-02-06,AlphaMind,,AR,28097,10,1,2025-06-11,Referral,0,None
G-101184,UAE,Sharjah,UAE,Standard,2025-07-07,Em Sherif,,AR,24252,14,1,2026-03-08,Hotel partner,0,Full
G-101185,Russia,Moscow,Russia,Standard,2025-06-16,Nammos,,RU,18279,7,1,2026-03-27,Hotel partner,0,Full
G-101186,USA,New York,USA,Standard,2025-01-12,CE LA VI,,EN,3479,2,1,2025-06-23,Direct,0,Partial
G-101187,UAE,Sharjah,UAE,Standard,2025-12-30,Em Sherif,,AR,4619,2,1,2026-03-12,Direct,0,Partial
G-101188,UK,London,UK,Standard,2025-12-26,Nammos,,EN,14385,7,2,2026-03-03,Referral,0,Full
G-101189,UK,Manchester,UK,Platinum,2026-03-17,Nammos,"vegetarian,gluten-free",EN,582173,469,1,2026-03-29,Referral,1,Partial
G-101190,USA,New York,USA,Standard,2025-06-30,AlphaMind,,EN,20131,15,1,2025-12-23,Direct,0,None
G-101191,UAE,Abu Dhabi,UAE,Standard,2025-05-25,Nammos,,AR,10179,6,1,2025-12-31,Hotel partner,0,Full
G-101192,USA,Los Angeles,USA,Diamond,2025-11-05,CE LA VI,,EN,2905944,1180,3,2026-03-19,Concierge,0,Full
G-101193,UAE,Dubai,UAE,Standard,2025-08-17,Nammos,,AR,12121,5,1,2026-01-30,Concierge,0,Full
G-101194,Saudi Arabia,Riyadh,Saudi Arabia,Standard,2025-08-05,Nammos,halal,AR,10683,7,1,2026-01-17,Concierge,0,Partial
G-101195,UAE,Abu Dhabi,UAE,Standard,2024-09-10,Em Sherif,,AR,19306,7,1,2026-04-14,Hotel partner,0,Partial
G-101196,Singapore,Singapore,Singapore,Standard,2024-06-13,CE LA VI,,EN,9078,4,1,2025-01-22,Hotel partner,0,None
G-101197,Qatar,Doha,Qatar,Standard,2025-06-11,AlphaMind,vegan,AR,8972,5,1,2025-11-22,Hotel partner,0,Full
G-101198,UK,London,UK,Standard,2025-03-17,Nammos,,EN,6784,3,1,2025-10-30,Concierge,0,Partial
G-101199,UAE,Dubai,UAE,Platinum,2025-01-05,CE LA VI,gluten-free,AR,430077,314,2,2025-04-08,Concierge,1,Full
G-101200,Italy,Rome,Italy,Platinum,2025-09-12,CE LA VI,,IT,271282,110,3,2026-01-04,Direct,1,Full
G-101201,India,Bangalore,India,Standard,2025-07-15,Nammos,,EN,10136,4,1,2025-11-11,Digital,0,Full
G-101202,Russia,Moscow,Russia,Standard,2025-11-03,AlphaMind,,RU,11283,4,1,2026-03-03,Direct,0,Partial
G-101203,France,Paris,France,Standard,2025-09-12,Nammos,,FR,8051,2,1,2025-12-12,Concierge,0,Full
G-101204,USA,Miami,USA,Standard,2024-10-28,Nammos,,EN,21916,11,2,2025-11-23,Direct,0,None
G-101205,UAE,Dubai,UAE,Standard,2025-06-01,Nammos,,AR,20032,7,1,2026-04-12,Direct,0,Full
G-101206,UAE,Dubai,UAE,Standard,2024-12-08,Nammos,vegetarian,AR,12901,6,1,2025-11-22,Concierge,0,Full
G-101207,India,Mumbai,India,Standard,2023-12-25,Nammos,,EN,4988,2,1,2026-02-27,Concierge,0,Full
G-101208,Singapore,Singapore,Singapore,Standard,2025-05-29,CE LA VI,,EN,25045,11,1,2025-08-02,Digital,0,None
G-101209,Lebanon,Beirut,Lebanon,Standard,2024-08-08,Nammos,,AR,18903,7,1,2025-03-18,Concierge,0,Partial
G-101210,UAE,Abu Dhabi,UAE,Standard,2024-09-28,Em Sherif,,AR,23182,12,1,2026-02-25,Digital,0,Partial
G-101211,USA,Miami,USA,Standard,2025-08-20,Nammos,,EN,9144,7,1,2025-12-19,Direct,0,Partial
G-101212,USA,Miami,USA,Platinum,2024-11-09,Nammos,,EN,758135,402,1,2025-02-13,Direct,0,Full
G-101213,Russia,Saint Petersburg,Russia,Platinum,2025-10-27,AlphaMind,halal,RU,488166,320,1,2026-03-09,Referral,0,Full
G-101214,UAE,Dubai,UAE,Standard,2025-10-18,AlphaMind,,AR,23492,14,1,2026-03-13,Concierge,0,Full
G-101215,USA,Los Angeles,USA,Standard,2025-07-08,Em Sherif,,EN,27267,12,1,2025-08-13,Direct,0,Partial
G-101216,Italy,Milan,Italy,Diamond,2025-05-12,Nammos,,IT,1615090,962,2,2026-01-12,Referral,0,Full
G-101217,UAE,Dubai,UAE,Standard,2025-12-03,Nammos,,AR,12375,5,1,2026-04-23,Concierge,0,Partial
G-101218,Germany,Berlin,Germany,Gold,2026-03-09,AlphaMind,halal,DE,149027,69,1,2026-04-15,Hotel partner,0,Partial
G-101219,USA,Miami,USA,Standard,2025-09-09,Em Sherif,,EN,18930,8,1,2026-01-01,Digital,0,Partial
G-101220,UK,Manchester,UK,Gold,2025-03-06,Em Sherif,,EN,47631,22,2,2026-02-10,Concierge,0,None
G-101221,India,Mumbai,India,Platinum,2024-09-27,CE LA VI,pescatarian,EN,294968,120,2,2025-06-22,Digital,0,Full
G-101222,UAE,Sharjah,UAE,Platinum,2025-07-21,Nammos,,AR,646464,234,4,2026-04-15,Direct,0,Partial
G-101223,Italy,Milan,Italy,Standard,2025-03-28,Nammos,,IT,8830,3,1,2026-03-20,Referral,0,None
G-101224,India,Delhi,India,Standard,2024-08-06,Nammos,gluten-free,EN,5988,2,2,2025-08-27,Concierge,0,Full
G-101225,India,Mumbai,India,Gold,2025-11-20,Em Sherif,,EN,41219,19,2,2026-02-24,Digital,0,Partial
G-101226,Saudi Arabia,Jeddah,Saudi Arabia,Standard,2024-08-12,CE LA VI,halal,AR,24602,14,1,2025-12-24,Direct,0,None
G-101227,India,Delhi,India,Standard,2024-11-26,CE LA VI,,EN,9613,3,1,2025-06-07,Direct,0,Partial
G-101228,Russia,Moscow,Russia,Gold,2025-07-25,AlphaMind,,RU,37512,29,2,2025-11-10,Direct,0,Full
G-101229,France,Cannes,France,Gold,2026-01-29,Nammos,,FR,93337,42,3,2026-04-04,Referral,0,Full
G-101230,Kuwait,Kuwait City,Kuwait,Standard,2025-10-26,Em Sherif,,AR,14412,7,1,2026-04-03,Direct,0,Partial
G-101231,Qatar,Doha,Qatar,Standard,2025-07-25,Nammos,vegetarian,AR,28402,10,1,2025-12-11,Concierge,0,Partial
G-101232,UAE,Dubai,UAE,Gold,2024-08-23,CE LA VI,,AR,129120,48,1,2025-02-06,Digital,0,Full
G-101233,UAE,Abu Dhabi,UAE,Platinum,2025-09-25,AlphaMind,,AR,278985,144,3,2026-04-07,Digital,2,Full
G-101234,Saudi Arabia,Jeddah,Saudi Arabia,Gold,2026-03-19,CE LA VI,,AR,137893,94,1,2026-04-20,Direct,0,Full
G-101235,Russia,Moscow,Russia,Platinum,2025-06-15,Em Sherif,gluten-free,RU,784681,435,3,2026-03-17,Concierge,0,None
G-101236,Kuwait,Kuwait City,Kuwait,Standard,2026-01-29,CE LA VI,halal,AR,10232,8,1,2026-03-03,Direct,0,Full
G-101237,UAE,Abu Dhabi,UAE,Gold,2025-06-13,Nammos,,AR,47012,24,1,2025-11-01,Direct,0,Full
G-101238,UAE,Dubai,UAE,Standard,2025-04-05,CE LA VI,,AR,4865,3,2,2025-12-22,Direct,0,None
G-101239,USA,Miami,USA,Standard,2025-07-01,CE LA VI,gluten-free,EN,26264,16,2,2025-10-31,Direct,0,Full
G-101240,UK,Manchester,UK,Standard,2025-06-24,CE LA VI,,EN,15799,6,1,2026-01-10,Concierge,0,Partial
G-101241,Singapore,Singapore,Singapore,Gold,2024-05-29,Nammos,,EN,78610,32,2,2026-02-23,Direct,0,Full
G-101242,USA,New York,USA,Standard,2025-08-15,Em Sherif,,EN,4413,2,1,2025-11-10,Referral,0,Full
G-101243,USA,Los Angeles,USA,Standard,2025-11-18,Nammos,pescatarian,EN,20236,7,1,2026-04-13,Direct,0,Full
G-101244,UK,Manchester,UK,Platinum,2025-05-08,Em Sherif,halal,EN,302892,137,3,2025-12-26,Digital,0,None
G-101245,UAE,Dubai,UAE,Standard,2025-01-27,Nammos,gluten-free,AR,25569,13,2,2025-09-20,Direct,0,Partial
G-101246,Italy,Milan,Italy,Standard,2025-03-23,Em Sherif,,IT,3848,2,1,2026-02-01,Concierge,0,Partial
G-101247,Italy,Milan,Italy,Standard,2025-11-03,AlphaMind,,IT,13246,7,1,2026-03-30,Hotel partner,0,Partial
G-101248,UAE,Sharjah,UAE,Gold,2025-03-21,CE LA VI,,AR,109643,56,1,2025-11-20,Referral,0,Full
G-101249,USA,Los Angeles,USA,Platinum,2024-10-02,Nammos,,EN,524922,263,2,2025-07-10,Hotel partner,0,Full
G-101250,UAE,Sharjah,UAE,Standard,2026-01-25,Nammos,,AR,2837,1,1,2026-03-30,Concierge,0,None
G-101251,USA,Miami,USA,Standard,2025-11-09,AlphaMind,,EN,6925,2,1,2026-01-09,Direct,0,Full
G-101252,UK,Manchester,UK,Standard,2024-10-20,Nammos,,EN,19872,8,1,2026-03-10,Concierge,0,Full
G-101253,Qatar,Doha,Qatar,Standard,2025-05-01,AlphaMind,gluten-free,AR,18032,13,1,2026-01-26,Hotel partner,0,Full
G-101254,Singapore,Singapore,Singapore,Standard,2025-06-06,AlphaMind,,EN,11613,7,1,2025-12-28,Concierge,0,Full
G-101255,India,Mumbai,India,Standard,2025-12-17,CE LA VI,,EN,28308,20,1,2026-02-20,Direct,0,Full
G-101256,USA,Miami,USA,Standard,2025-08-27,Em Sherif,,EN,23167,9,1,2026-03-11,Direct,0,Full
G-101257,Kuwait,Kuwait City,Kuwait,Standard,2026-01-06,CE LA VI,gluten-free,AR,27588,12,2,2026-04-08,Referral,0,Full
G-101258,Bahrain,Manama,Bahrain,Standard,2025-10-19,Nammos,,AR,11106,5,1,2026-03-15,Direct,0,Full
G-101259,France,Nice,France,Standard,2025-01-01,AlphaMind,,FR,4726,1,1,2025-12-17,Direct,0,Full
G-101260,USA,New York,USA,Gold,2024-05-08,CE LA VI,,EN,34223,19,1,2025-10-12,Direct,0,None
G-101261,USA,Los Angeles,USA,Standard,2024-12-08,Nammos,,EN,12107,7,1,2025-11-18,Referral,0,Full
G-101262,UK,London,UK,Standard,2024-11-23,Nammos,pescatarian,EN,28755,11,1,2025-10-18,Referral,0,Full
G-101263,USA,Los Angeles,USA,Standard,2025-08-20,Nammos,,EN,22742,10,1,2026-01-29,Concierge,0,Full
G-101264,Italy,Rome,Italy,Gold,2025-05-27,Nammos,halal,IT,103725,74,2,2026-04-02,Direct,0,None
G-101265,Singapore,Singapore,Singapore,Standard,2025-08-03,Nammos,vegetarian,EN,20125,12,1,2025-09-25,Referral,0,Full
G-101266,Lebanon,Beirut,Lebanon,Platinum,2026-03-31,Nammos,halal,AR,171963,112,2,2026-04-07,Direct,0,Full
G-101267,Kuwait,Kuwait City,Kuwait,Standard,2025-11-21,AlphaMind,,AR,21330,7,1,2026-03-12,Referral,0,None
G-101268,France,Nice,France,Diamond,2025-08-06,Em Sherif,,FR,3902743,2657,1,2026-02-23,Referral,3,Full
G-101269,UAE,Sharjah,UAE,Gold,2024-09-30,Nammos,halal,AR,102789,39,1,2025-09-01,Direct,0,Partial
G-101270,France,Paris,France,Standard,2025-10-22,Em Sherif,,FR,11660,5,1,2026-01-15,Hotel partner,0,Full
G-101271,France,Paris,France,Gold,2025-08-29,CE LA VI,halal,FR,73582,33,2,2026-02-10,Digital,0,None
G-101272,Kuwait,Kuwait City,Kuwait,Standard,2025-06-22,AlphaMind,,AR,17506,7,2,2026-02-09,Direct,0,Full
G-101273,UK,London,UK,Standard,2025-10-17,Nammos,,EN,22081,14,1,2026-02-14,Direct,0,Full
G-101274,India,Mumbai,India,Standard,2025-04-19,Em Sherif,,EN,22747,8,1,2025-07-05,Referral,0,Partial
G-101275,USA,Miami,USA,Standard,2025-11-22,AlphaMind,,EN,11102,6,1,2025-12-20,Referral,0,Partial
G-101276,USA,Los Angeles,USA,Standard,2025-06-03,Em Sherif,,EN,22639,8,1,2026-03-10,Direct,0,Partial
G-101277,Italy,Rome,Italy,Standard,2024-11-24,Em Sherif,,IT,22300,14,1,2025-12-07,Referral,0,Partial
G-101278,UK,London,UK,Gold,2025-08-24,Em Sherif,,EN,101507,42,1,2025-11-03,Hotel partner,0,Full
G-101279,India,Mumbai,India,Standard,2025-10-04,Nammos,,EN,24744,10,1,2026-04-07,Concierge,0,Partial
G-101280,India,Mumbai,India,Standard,2025-09-24,Em Sherif,,EN,18984,7,1,2025-12-03,Concierge,0,Full
G-101281,USA,Los Angeles,USA,Standard,2024-08-16,Em Sherif,,EN,12006,7,1,2025-10-05,Referral,0,None
G-101282,Singapore,Singapore,Singapore,Standard,2024-06-21,Em Sherif,,EN,24810,9,1,2025-08-29,Direct,0,Full
G-101283,India,Mumbai,India,Gold,2024-06-13,Nammos,pescatarian,EN,123473,55,2,2026-02-16,Hotel partner,0,None
G-101284,France,Paris,France,Standard,2024-12-26,Nammos,,FR,19138,12,1,2026-04-23,Concierge,0,Full
G-101285,Saudi Arabia,Jeddah,Saudi Arabia,Diamond,2026-01-28,Nammos,,AR,1437507,938,3,2026-04-13,Concierge,0,Partial
G-101286,UK,London,UK,Standard,2025-12-26,Nammos,,EN,13275,9,1,2026-04-05,Hotel partner,0,Full
G-101287,UK,Manchester,UK,Gold,2024-06-07,Nammos,,EN,104756,44,3,2026-04-04,Direct,0,Full
G-101288,USA,Miami,USA,Standard,2025-09-07,Em Sherif,,EN,6189,2,1,2026-03-27,Direct,0,Full
G-101289,USA,Los Angeles,USA,Standard,2026-03-23,Em Sherif,,EN,29495,20,1,2026-04-13,Referral,0,Full
G-101290,USA,Miami,USA,Platinum,2025-07-30,CE LA VI,gluten-free,EN,676801,284,4,2026-04-28,Concierge,0,Partial
G-101291,Bahrain,Manama,Bahrain,Platinum,2025-06-22,Nammos,gluten-free,AR,273991,101,2,2026-01-08,Referral,0,Full
G-101292,UAE,Dubai,UAE,Standard,2025-11-15,Nammos,,AR,15491,12,1,2026-04-07,Concierge,0,Full
G-101293,USA,Los Angeles,USA,Gold,2025-01-07,AlphaMind,,EN,81746,31,1,2026-04-14,Direct,0,Full
G-101294,USA,New York,USA,Standard,2024-10-08,Em Sherif,,EN,19977,12,1,2025-08-03,Direct,0,Full
G-101295,UAE,Sharjah,UAE,Standard,2025-04-20,CE LA VI,,AR,14641,7,3,2025-10-04,Concierge,0,Partial
G-101296,USA,Los Angeles,USA,Gold,2025-10-03,Em Sherif,,EN,42771,16,1,2026-03-21,Concierge,0,Full
G-101297,Russia,Moscow,Russia,Standard,2024-11-09,Em Sherif,,RU,4810,2,1,2025-07-22,Direct,0,Full
G-101298,UK,London,UK,Standard,2025-06-25,Nammos,,EN,2853,1,2,2025-08-12,Concierge,0,Partial
G-101299,Saudi Arabia,Riyadh,Saudi Arabia,Gold,2025-01-12,Nammos,,AR,146253,58,1,2026-02-04,Concierge,0,None
G-101300,Saudi Arabia,Jeddah,Saudi Arabia,Diamond,2025-04-20,Nammos,,AR,3033105,1483,2,2026-02-04,Direct,0,Full
G-101301,UAE,Dubai,UAE,Standard,2024-10-30,CE LA VI,,AR,18994,13,1,2025-06-20,Digital,0,None
G-101302,India,Delhi,India,Standard,2026-01-14,Nammos,,EN,5870,2,1,2026-04-24,Direct,0,Full
G-101303,UK,London,UK,Standard,2024-12-10,CE LA VI,,EN,3416,1,1,2025-09-20,Direct,0,Full
G-101304,UAE,Sharjah,UAE,Standard,2025-04-28,CE LA VI,,AR,17761,7,1,2025-11-05,Concierge,0,Partial
G-101305,Kuwait,Kuwait City,Kuwait,Standard,2025-03-24,Nammos,,AR,18510,8,1,2025-11-25,Digital,0,Full
G-101306,Russia,Saint Petersburg,Russia,Gold,2025-04-05,Em Sherif,,RU,127639,70,1,2025-12-12,Concierge,0,Full
G-101307,UAE,Dubai,UAE,Platinum,2025-04-16,Nammos,,AR,690095,285,3,2026-01-15,Concierge,1,Full
G-101308,Qatar,Doha,Qatar,Platinum,2025-01-13,AlphaMind,"vegetarian,gluten-free",AR,257342,136,1,2025-03-05,Concierge,0,Full
G-101309,UK,London,UK,Standard,2025-02-18,Em Sherif,,EN,19663,8,1,2026-02-16,Digital,0,Partial
G-101310,USA,New York,USA,Standard,2025-04-16,Em Sherif,,EN,26778,10,1,2026-01-12,Direct,0,Full
G-101311,Germany,Berlin,Germany,Standard,2024-04-11,AlphaMind,halal,DE,16230,6,1,2025-01-20,Digital,0,None
G-101312,Lebanon,Beirut,Lebanon,Gold,2024-05-15,AlphaMind,,AR,92633,38,1,2026-01-19,Concierge,0,None
G-101313,Singapore,Singapore,Singapore,Standard,2025-07-11,Nammos,,EN,20664,8,1,2026-03-21,Concierge,0,Full
G-101314,Qatar,Doha,Qatar,Gold,2025-11-14,AlphaMind,,AR,110920,51,1,2026-01-23,Digital,0,Full
G-101315,UAE,Sharjah,UAE,Standard,2024-06-10,Em Sherif,halal,AR,19790,12,1,2025-08-17,Direct,0,Full
G-101316,Lebanon,Beirut,Lebanon,Standard,2026-02-01,AlphaMind,halal,AR,19985,13,1,2026-04-04,Hotel partner,0,None
G-101317,USA,Los Angeles,USA,Standard,2025-06-19,CE LA VI,halal,EN,24534,10,1,2026-02-08,Direct,0,Full
G-101318,USA,Los Angeles,USA,Standard,2025-07-29,Nammos,halal,EN,9415,4,1,2026-04-17,Direct,0,Full
G-101319,UAE,Dubai,UAE,Standard,2025-11-13,AlphaMind,,AR,18239,11,1,2026-02-15,Concierge,0,Full
G-101320,UAE,Sharjah,UAE,Gold,2025-07-20,Em Sherif,vegan,AR,57354,45,2,2026-02-08,Direct,0,Full
G-101321,Germany,Munich,Germany,Platinum,2024-10-03,Nammos,,DE,198004,70,1,2026-03-15,Direct,0,None
G-101322,France,Cannes,France,Standard,2025-10-22,Nammos,,FR,8514,4,1,2026-03-06,Direct,0,Full
